top - 09:47:01 up  3:33,  3 users,  load average: 0.70, 0.28, 0.36
Tasks: 178 total,   3 running, 175 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.0 us,  0.7 sy,  0.0 ni, 91.2 id,  0.1 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  1884064 total,   384532 free,  1106016 used,   393516 buff/cache
KiB Swap:  1601532 total,  1212960 free,   388572 used.   604972 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2990 dragos    20   0 1824852 230956  21396 R  43.8 12.3  19:06.93 gnome-shell
 2776 root      20   0  428620  93584   3868 S   6.2  5.0  12:14.38 X
    1 root      20   0  191484   3980   2320 S   0.0  0.2   0:02.13 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.03 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   0:00.39 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
    7 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 migration/0
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/0
   10 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcuob/1
   11 root      20   0       0      0      0 S   0.0  0.0   0:01.24 rcu_sched
   12 root      20   0       0      0      0 S   0.0  0.0   0:01.15 rcuos/0
   13 root      20   0       0      0      0 R   0.0  0.0   0:01.12 rcuos/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:00.09 watchdog/0
   15 root      rt   0       0      0      0 S   0.0  0.0   0:00.08 watchdog/1
   16 root      rt   0       0      0      0 S   0.0  0.0   0:00.04 migration/1
   17 root      20   0       0      0      0 S   0.0  0.0   0:00.12 ksoftirqd/1
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   22 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   34 root      20   0       0      0      0 S   0.0  0.0   0:04.23 kswapd0
   35 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   36 root      39  19       0      0      0 S   0.0  0.0   0:00.31 khugepaged
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.01 fsnotify_m+
   38 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   46 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   47 root      20   0       0      0      0 S   0.0  0.0   0:01.32 kworker/u4+
   48 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_rda+
   50 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
   51 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrc+
   71 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
  103 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kauditd
  267 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
  289 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  290 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  291 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  292 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/u4+
  293 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  294 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  295 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  301 root       0 -20       0      0      0 S   0.0  0.0   0:00.38 kworker/1:+
  303 root       0 -20       0      0      0 S   0.0  0.0   0:00.50 kworker/0:+
  367 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  368 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  377 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  378 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  393 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfsalloc
  394 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs_mru_ca+
  395 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-buf/dm+
  396 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-data/d+
  397 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-conv/d+
  398 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-cil/dm+
  399 root      20   0       0      0      0 S   0.0  0.0   0:04.56 xfsaild/dm+
  476 root      20   0   36916   2208   2044 S   0.0  0.1   0:00.38 systemd-jo+
  499 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rpciod
  503 root      20   0  129128     16     16 S   0.0  0.0   0:00.00 lvmetad
  507 root      20   0   46388    156    152 S   0.0  0.0   0:00.16 systemd-ud+
  591 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-buf/sd+
  592 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-data/s+
  593 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-conv/s+
  594 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 xfs-cil/sd+
  596 root      20   0       0      0      0 S   0.0  0.0   0:00.00 xfsaild/sd+
  622 root      16  -4   51208    152     52 S   0.0  0.0   0:00.06 auditd
  628 root      12  -8   80220    120     56 S   0.0  0.0   0:00.06 audispd
  634 root      16  -4   26200     48      0 S   0.0  0.0   0:00.01 sedispatch
  646 root      39  19   16752    156    128 S   0.0  0.0   0:00.00 alsactl
  649 root      20   0  336352    212    212 S   0.0  0.0   0:00.03 ModemManag+
  652 root      20   0    4372     28      0 S   0.0  0.0   0:05.63 rngd
  654 dbus      20   0   38584   1964    552 S   0.0  0.1   0:00.94 dbus-daemon
  657 chrony    20   0  115840    532    420 S   0.0  0.0   0:00.10 chronyd
  668 root      20   0  203352     44      8 S   0.0  0.0   0:00.02 gssproxy
  673 avahi     20   0   30192    220    136 S   0.0  0.0   0:00.04 avahi-daem+
  674 root      20   0   26396    952    772 S   0.0  0.1   0:00.23 systemd-lo+
  675 root      20   0  210248    152    148 S   0.0  0.0   0:00.01 abrtd
  676 root      20   0  207968    208    204 S   0.0  0.0   0:00.01 abrt-watch+
  683 avahi     20   0   30068     24      0 S   0.0  0.0   0:00.00 avahi-daem+
  684 libstor+  20   0    8528     56     28 S   0.0  0.0   0:00.06 lsmd
  690 root      20   0   19176    424    320 S   0.0  0.0   0:00.70 irqbalance
  692 root      20   0  323720   1612    704 S   0.0  0.1   0:00.53 firewalld
  693 root      20   0  219752   1420   1204 S   0.0  0.1   0:00.09 rsyslogd
  694 root      20   0  207968    260    224 S   0.0  0.0   0:00.04 abrt-watch+
  695 root      20   0   26516    152    128 S   0.0  0.0   0:00.02 smartd
  707 root      20   0  115244    728    564 S   0.0  0.0   0:00.22 ksmtuned
  807 root      20   0  526148   2148   1192 S   0.0  0.1   0:00.57 NetworkMan+
  853 polkitd   20   0  534652  13296   1840 S   0.0  0.7   0:08.26 polkitd
  855 root      20   0   53060     92     92 S   0.0  0.0   0:00.00 wpa_suppli+
 1131 root      20   0  110516    164    160 S   0.0  0.0   0:00.02 dhclient
 1430 root      20   0   82552    152    148 S   0.0  0.0   0:00.01 sshd
 1432 root      20   0  193064    608     92 S   0.0  0.0   0:00.03 cupsd
 1434 root      20   0  553048    928    420 S   0.0  0.0   0:01.61 tuned
 1445 root      20   0  557596    232    228 S   0.0  0.0   0:00.17 libvirtd
 1496 root      20   0   25960     28     12 S   0.0  0.0   0:00.00 atd
 1503 root      20   0  126332    448    328 S   0.0  0.0   0:00.47 crond
 1566 root      20   0   92292    168    168 S   0.0  0.0   0:00.11 login
 1974 root      20   0   93216    104     28 S   0.0  0.0   0:00.06 master
 1985 postfix   20   0   93388     84     32 S   0.0  0.0   0:00.01 qmgr
 2106 nobody    20   0   15548    100     96 S   0.0  0.0   0:00.00 dnsmasq
 2107 root      20   0   15520      4      0 S   0.0  0.0   0:00.00 dnsmasq
 2714 dragos    20   0  116696    104    104 S   0.0  0.0   0:00.05 bash
 2753 dragos    20   0  113116    108    104 S   0.0  0.0   0:00.00 startx
 2775 dragos    20   0   13944     56     56 S   0.0  0.0   0:00.00 xinit
 2780 dragos    20   0  575324   1700   1016 S   0.0  0.1   0:00.16 gnome-sess+
 2787 dragos    20   0   13948      0      0 S   0.0  0.0   0:00.00 dbus-launch
